,Zm00001d028401,Zm00001d049179,Zm00001d035082,Zm00001d031463,Zm00001d039173,Zm00001d006010,Zm00001d033861,Zm00001d043589,Zm00001d040260,Zm00001d048201,Zm00001d024281,Zm00001d018024,Zm00001d018742,Zm00001d034112,Zm00001d033673,Zm00001d044228,Zm00001d028398,Zm00001d025944,Zm00001d048082,Zm00001d005454,Zm00001d015737,Zm00001d020620,Zm00001d020910,Zm00001d031913,Zm00001d039432,Zm00001d042217,Zm00001d018775
cell_85,0,0,2,0,0,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,1,0,0,3,0,0,0
cell_86,6,0,0,0,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cell_87,1,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cell_88,0,0,0,0,0,0,1,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_89,0,0,0,1,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_90,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_92,0,0,0,3,0,0,0,7,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cell_93,2,0,1,0,0,0,1,0,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0
cell_94,0,0,0,1,0,0,0,8,0,3,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_95,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_96,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,2,0,0
cell_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
cell_98,0,0,1,0,0,0,1,2,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_99,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,2,0,0,0,1,0,0,7,0,2,1,0
cell_100,0,0,0,0,0,1,3,0,0,1,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
cell_101,1,0,0,0,0,10,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0
cell_102,2,0,0,0,1,0,1,1,0,0,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0
cell_103,0,0,0,0,0,1,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_104,0,0,0,0,1,0,0,4,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_105,0,0,2,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,0,0,7,0,0,10,0,0,0
cell_106,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_107,0,0,4,0,1,0,1,3,0,1,0,1,1,3,0,0,0,0,0,0,17,0,0,5,0,0,0
cell_108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_109,3,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
cell_110,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_111,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_112,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
cell_113,1,0,1,3,0,0,0,1,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_114,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_115,0,0,0,0,0,0,0,4,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
cell_116,2,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
cell_117,1,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
cell_118,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
cell_120,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_121,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,0,3,0,0,0,0,0,0,4,0,0
cell_122,1,0,5,0,0,0,0,1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0
cell_123,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_124,0,0,0,0,0,0,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
cell_125,0,0,0,1,1,0,1,3,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_126,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_127,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_128,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0
cell_129,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_130,0,0,1,1,0,0,0,13,0,2,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
cell_131,0,0,0,5,0,0,1,6,1,2,14,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0
cell_132,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0
cell_133,4,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
cell_134,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0
cell_135,0,0,1,0,0,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_136,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
cell_137,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_138,3,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,3,0,0,1,0,2,1,0
cell_139,2,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
cell_140,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
