,imagecol,imagerow
cell_667,1464.36,1689.55
cell_668,1464.45,2109.34
cell_669,1466.22,1605.89
cell_670,1466.6,2135.24
cell_671,1467.99,1245.26
cell_672,1469.17,1131.7
cell_673,1469.27,1049.94
cell_674,1469.55,1193.32
cell_675,1469.89,1424.84
cell_676,147.06,1038.5
cell_677,1470.1,1211.82
cell_678,1472,1654.92
cell_679,1472.39,1495.45
cell_680,1473.08,871.2
cell_681,1473.1,2072.98
cell_682,1473.38,2102.11
cell_683,1473.77,1154.21
cell_684,1474.46,1465.07
cell_685,1474.75,1692.08
cell_686,1475.58,1521.34
cell_687,1476.16,1101.66
cell_688,1476.22,1559.69
cell_689,1476.31,912.64
cell_690,1476.52,1222.99
cell_691,1476.9,1676.01
cell_692,1477.29,1629.31
cell_693,1477.89,1040.91
cell_694,1479.25,1570.9
cell_695,1480.3,1068.99
cell_696,1481.86,1135.12
cell_697,1481.99,1616.03
cell_698,1482.73,1124.72
cell_699,1482.93,1591.68
cell_700,1483.25,1635.88
cell_701,1483.48,1648.78
cell_702,1484.14,1926.96
cell_703,1484.6,1083.01
cell_704,1484.79,1145.1
cell_705,1484.92,1242.17
cell_706,1485.19,1328.19
cell_707,1485.7,1312.28
cell_708,1486.25,1096.05
cell_709,1486.58,1601.1
cell_710,1486.85,1057.32
cell_711,1487.25,1547.33
cell_712,1487.99,1107.3
cell_713,1489.45,1189.89
cell_714,1489.82,2085.84
cell_715,1493,1159.3
cell_716,1494.18,1073.64
cell_717,1495.12,1047.7
cell_718,1495.24,1207.73
cell_719,1495.37,1140.77
cell_720,1496.72,1518.14
cell_721,1497.57,1096.63
cell_722,1497.88,1062.3
cell_723,1498.07,1125.75
cell_724,1501.47,1177.5
cell_725,1502.44,1220.48
cell_726,1502.96,1622.77
cell_727,1503.67,1230.49
cell_728,1504.7,1272.54
cell_729,1505.35,1553.32
cell_730,1505.4,1474.07
cell_731,1505.46,2123.65
cell_732,1506.73,2145.38
cell_733,1506.8,1188.11
cell_734,1507.24,1063.32
cell_735,1507.56,1539.97
cell_736,1508.35,1252.85
cell_737,1508.71,1098.3
cell_738,1509.13,1085.26
cell_739,1510.55,1307.45
cell_740,1511.55,1122.16
cell_741,1513.36,1649.26
cell_742,1514.1,1205.7
cell_743,1514.14,1575.94
cell_744,1515.25,1142.01
cell_745,1515.37,868.49
cell_746,1515.84,1614.76
cell_747,1516.62,1456.11
cell_748,1517.26,1172.59
cell_749,1517.31,1684.21
cell_750,1518.5,1600.46
cell_751,1518.89,1520.28
cell_752,1519.63,1590
cell_753,1520.78,1031.36
cell_754,1520.92,1639.8
cell_755,1521.88,1195.16
cell_756,1522.25,2100.85
cell_757,1523.65,1130.57
cell_758,1524.37,2116.25
cell_759,1524.45,1544.39
cell_760,1524.62,1561.32
cell_761,1526.69,1688.51
cell_762,1527.05,875.12
cell_763,1527.25,1089.14
cell_764,1527.57,886.93
cell_765,1528.16,1168.02
cell_766,1528.82,1145.96
cell_767,1529.57,1676.99
cell_768,1530.55,1044.95
cell_769,1530.62,1116.69
cell_770,1530.76,1032.6
cell_771,1530.8,1200.68
cell_772,1530.91,1292.43
cell_773,1530.94,2140.34
cell_774,1531.57,1071.54
cell_775,1532.06,1435.83
cell_776,1533.51,1186.72
cell_777,1536.52,1652.13
cell_778,1536.91,1543.27
cell_779,1537.79,1145.25
cell_780,1538.16,1086.94
cell_781,1538.81,1169.84
cell_782,1539.62,756.43
cell_783,1540.34,1481.76
cell_784,1540.53,1067.24
cell_785,1540.97,1032.6
cell_786,1541.83,1573.54
cell_787,1542.54,1557.89
cell_788,1543.1,1104.9
cell_789,1544.21,1272.3
cell_790,1544.3,1602.18
cell_791,1545.33,1583.67
cell_792,1545.8,1138.76
cell_793,1546.13,1677.14
cell_794,1547.56,1079.83
cell_795,1547.59,1152.72
cell_796,1548.47,1662.51
cell_797,1550.51,1164.46
cell_798,1550.78,909.43
cell_799,1550.98,1067.45
cell_800,1551.46,1646.85
cell_801,1551.76,1291.96
cell_802,1552.28,1050.72
cell_803,1553.39,1101.48
cell_804,1553.39,1247.97
cell_805,1553.83,1694.61
cell_806,1553.96,1213.23
cell_807,1553.98,1257.97
cell_808,1554.05,1619.67
cell_809,1554.53,1313.1
cell_810,1554.59,1131.12
cell_811,1554.98,1113.82
cell_812,1556.42,1561.27
cell_813,1556.51,1089.31
cell_814,1556.95,867.64
cell_815,1557.18,1435.53
cell_816,1558.01,1176.97
cell_817,1558.05,1572.93
cell_818,1558.75,1060.18
cell_819,1559.32,1351.81
cell_820,1560.04,1634.73
cell_821,1560.47,1229.53
cell_822,1561.14,1101.11
cell_823,1561.41,1140.3
cell_824,1563.08,1674.83
cell_825,1563.15,1615.77
cell_826,1563.47,1075.99
cell_827,1564.22,1691.13
cell_828,1564.63,1124.41
cell_829,1565.3,1527.11
cell_830,1566.08,2080.05
cell_831,1567.3,1596.56
cell_832,1567.7,1662.63
cell_833,1569.15,1543.09
cell_834,1569.4,1605.88
cell_835,1571.05,1204.52
cell_836,1571.67,1082.62
cell_837,1573.45,1153.26
cell_838,1574.07,1124.57
cell_839,1575.02,1176.3
cell_840,1576.21,1624.58
cell_841,1576.54,1102.68
cell_842,1576.62,1058.14
cell_843,1576.88,2128.64
cell_844,1577.28,1583.83
cell_845,1577.36,1702.32
cell_846,1577.64,1233.17
cell_847,1578.1,1559.81
cell_848,1578.35,1649.84
cell_849,1578.86,1609.29
cell_850,1579.2,1531.63
cell_851,1579.52,1680.4
cell_852,1581.84,1090.22
cell_853,1581.84,1215.66
cell_854,1582.4,1596.52
cell_855,1584.41,1120.45
cell_856,1584.77,1149
cell_857,1585.73,1424.84
cell_858,1588.02,1139.82
cell_859,1588.74,1387.14
cell_860,1590.9,1174.68
cell_861,1592.18,1691.79
cell_862,1592.93,1550.33
cell_863,1594.44,1200.46
cell_864,1595.27,2144.64
cell_865,1596.04,1721.22
cell_866,1596.16,1136.53
cell_867,1597.16,1190.07
cell_868,1598.06,1241.26
cell_869,1599.68,1101.18
cell_870,1599.86,1307.44
cell_871,1600.94,1364.75
cell_872,1602.33,1333.23
cell_873,1602.45,1575.74
